Altium Designer Pick and Place Locations
C:\Users\gauppto\Documents\uz_per_current_measurement_dsub_to_rj45_4channel\Project Outputs for uz_per_current_measurement_dsub_to_rj45\Pick Place\PickPlace_uz_per_current_measurement_dsub_to_rj45_01.csv

========================================================================================================================
File Design Information:

Date:       03/06/26
Time:       15:30
Revision:   9a58b07cb708a9f6d2d343bc8c5b0b15c502ab43
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F1","0154xxx","109.5000","109.5000","7.5000","7.5000","112.6900","7.5000","180","Fuse, 5 A","TopLayer"
"X2","618009231121","30.0000","33.3000","113.6000","113.6000","34.7200","108.0600","270","D-SUB 9, female","TopLayer"
"X4","618009231121","30.0000","33.3000","28.0000","28.0000","34.7200","22.4600","270","D-SUB 9, female","TopLayer"
"X3","618009231121","30.0000","33.3000","70.8000","70.8000","34.7200","65.2600","270","D-SUB 9, female","TopLayer"
"X1","618009231121","30.0000","33.3000","156.4000","156.4000","34.7200","150.8600","270","D-SUB 9, female","TopLayer"
"C20_D","C_0603","55.9898","55.9898","13.6500","13.6500","55.2898","13.6500","0","56 pF","TopLayer"
"C20_C","C_0603","56.0048","56.0048","56.3070","56.3070","55.3048","56.3070","0","56 pF","TopLayer"
"C20_B","C_0603","55.9898","55.9898","99.2587","99.2587","55.2898","99.2587","0","56 pF","TopLayer"
"C20_A","C_0603","55.9898","55.9898","141.9806","141.9806","55.2898","141.9806","0","56 pF","TopLayer"
"C19_D","C_0603","55.9898","55.9898","24.6500","24.6500","55.2898","24.6500","0","56 pF","TopLayer"
"C19_C","C_0603","56.0048","56.0048","67.3070","67.3070","55.3048","67.3070","0","56 pF","TopLayer"
"C19_B","C_0603","55.9898","55.9898","110.2587","110.2587","55.2898","110.2587","0","56 pF","TopLayer"
"C19_A","C_0603","55.9898","55.9898","152.9806","152.9806","55.2898","152.9806","0","56 pF","TopLayer"
"C17_D","C_0603","73.2000","73.2000","32.1000","32.1000","73.2000","31.4000","90","47 nF","TopLayer"
"C17_C","C_0603","73.2000","73.2000","74.9000","74.9000","73.2000","74.2000","90","47 nF","TopLayer"
"C17_B","C_0603","73.2000","73.2000","117.7498","117.7498","73.2000","117.0498","90","47 nF","TopLayer"
"C17_A","C_0603","72.0000","72.0000","160.5000","160.5000","72.0000","159.8000","90","47 nF","TopLayer"
"C16_D","C_0603","75.4000","75.4000","32.1000","32.1000","75.4000","31.4000","90","1 µF","TopLayer"
"C16_C","C_0603","75.4000","75.4000","74.9000","74.9000","75.4000","74.2000","90","1 µF","TopLayer"
"C16_B","C_0603","75.4000","75.4000","117.7498","117.7498","75.4000","117.0498","90","1 µF","TopLayer"
"C16_A","C_0603","75.4000","75.4000","160.5000","160.5000","75.4000","159.8000","90","1 µF","TopLayer"
"C15_D","C_0603","100.0000","100.0000","49.0000","49.0000","100.7000","49.0000","180","47 nF","TopLayer"
"C15_C","C_0603","100.0000","100.0000","92.0000","92.0000","100.7000","92.0000","180","47 nF","TopLayer"
"C15_B","C_0603","100.0000","100.0000","135.0000","135.0000","100.7000","135.0000","180","47 nF","TopLayer"
"C15_A","C_0603","100.0000","100.0000","147.0000","147.0000","100.7000","147.0000","180","47 nF","TopLayer"
"C14_D","C_0603","75.4000","75.4000","35.9000","35.9000","75.4000","35.2000","90","47 nF","TopLayer"
"C14_C","C_0603","75.4000","75.4000","78.7058","78.7058","75.4000","78.0058","90","47 nF","TopLayer"
"C14_B","C_0603","75.4000","75.4000","121.5000","121.5000","75.4000","120.8000","90","47 nF","TopLayer"
"C14_A","C_0603","75.4000","75.4000","164.2500","164.2500","75.4000","163.5500","90","47 nF","TopLayer"
"C13_D","C_0603","73.2000","73.2000","35.9000","35.9000","73.2000","35.2000","90","1 µF","TopLayer"
"C13_C","C_0603","73.2000","73.2000","78.7058","78.7058","73.2000","78.0058","90","1 µF","TopLayer"
"C13_B","C_0603","73.2000","73.2000","121.5000","121.5000","73.2000","120.8000","90","1 µF","TopLayer"
"C13_A","C_0603","72.0000","72.0000","164.2500","164.2500","72.0000","163.5500","90","1 µF","TopLayer"
"C12","C_0603","89.1266","89.1266","14.0620","14.0620","89.8266","14.0620","180","1 µF","TopLayer"
"C11","C_0603","89.1266","89.1266","16.0620","16.0620","89.8266","16.0620","180","1 µF","TopLayer"
"C10","C_0603","89.1266","89.1266","18.0620","18.0620","89.8266","18.0620","180","1 µF","TopLayer"
"C9","C_0603","85.4016","85.4016","14.0620","14.0620","86.1016","14.0620","180","1 µF","TopLayer"
"C8","C_0603","85.4016","85.4016","16.0620","16.0620","86.1016","16.0620","180","1 µF","TopLayer"
"C7","C_0603","85.4016","85.4016","18.0620","18.0620","86.1016","18.0620","180","1 µF","TopLayer"
"C6","C_0603","101.0000","101.0000","16.0000","16.0000","101.0000","15.3000","90","1 µF","TopLayer"
"C5","C_0603","103.0000","103.0000","16.0000","16.0000","103.0000","15.3000","90","1 µF","TopLayer"
"C4","C_0603","105.0000","105.0000","16.0000","16.0000","105.0000","15.3000","90","1 µF","TopLayer"
"C3_D","C_0603","63.9898","63.9898","19.6500","19.6500","63.9898","18.9500","90","100 nF","TopLayer"
"C3_C","C_0603","64.0048","64.0048","62.3070","62.3070","64.0048","61.6070","90","100 nF","TopLayer"
"C3_B","C_0603","63.9898","63.9898","105.2587","105.2587","63.9898","104.5587","90","100 nF","TopLayer"
"C3_A","C_0603","63.9898","63.9898","147.9806","147.9806","63.9898","147.2806","90","100 nF","TopLayer"
"C2_D","C_0603","62.4898","62.4898","17.6500","17.6500","62.4898","18.3500","270","100 nF","TopLayer"
